bank,sv_score,sv_rating,cx_quantitative_score,cx_qualitative_score,cx_score,cx_rating,ex_quantitative_score,ex_qualitative_score,ex_score,ex_rating,ss_score,ss_rating,sp_impact_score,sp_impact_rating,new_aggregate_total_score,star_rating
Bendigo,37,3,6.53,4.11,10.64,3,6.04,15.00,21.04,4,10.00,1,31,5,18.00,3.600
Bank of Queensland,28,2,5.68,3.50,9.18,3,4.86,17.00,21.86,4,14.50,4,33,5,19.00,3.800
ANZ,36,3,3.16,4.20,7.36,2,3.76,13.00,16.76,2,14.00,4,6,2,11.00,2.200
CBA ,52,5,3.58,4.08,7.65,2,5.60,13.00,18.60,3,17.00,5,27,5,19.00,3.800
NAB,41,4,4.32,3.91,8.23,2,3.09,13.00,16.09,2,16.00,5,11,3,14.00,2.800
Westpac,35.5,3,3.58,3.98,7.55,2,7.07,14.00,21.07,4,16.00,5,9,2,16.00,3.200
UOB Group,68,5,4.63,4.68,9.31,3,4.27,17.00,21.27,4,15.00,4,14,3,18.00,3.600
OCBC- Singapore,64,5,6.63,4.68,11.31,4,4.49,17.00,21.49,4,13.00,3,17,4,20.00,4.000
DBS,55,5,8.32,4.88,13.19,4,4.57,19.00,23.57,5,14.00,4,20,5,21.00,4.200
CIMB,46,4,4.53,3.39,7.91,2,4.12,13.00,17.12,2,13.00,3,12,3,14.00,2.800
Maybank,61,5,8.11,4.24,12.34,4,4.71,14.00,18.71,3,12.00,3,24,5,20.00,4.000
RHB,60,5,1.37,0.00,1.37,1,2.21,15.50,17.71,2,12.00,3,35,5,15.00,3.000
HLB,75,5,6.00,2.95,8.95,2,6.92,16.00,22.92,5,12.50,3,37,5,21.00,4.200
AmBank,33.5,3,3.47,2.64,6.11,1,5.30,12.00,17.30,2,12.00,3,30,5,15.00,3.000
Public Bank ,77,5,4.00,3.55,7.55,2,5.30,13.00,18.30,3,17.00,5,31,5,20.00,4.000
Bank Mandiri ,76,5,6.63,3.40,10.03,3,3.90,16.00,19.90,3,14.00,4,15,4,20.00,4.000
BCA,99,5,3.79,3.20,6.99,1,5.89,15.00,20.89,4,11.00,2,0,1,15.00,3.000
BNI,59,5,3.89,3.24,7.13,2,4.42,17.50,21.92,4,10.00,1,13,3,15.00,3.000
BRI,66,5,5.05,3.44,8.49,2,3.53,19.00,22.53,5,15.00,4,3,1,18.00,3.600
ICBC,66,5,1.89,3.89,5.78,1,1.62,16.50,18.12,3,11.00,2,22,5,16.00,3.200
HSBC,56,5,4.63,4.53,9.16,3,4.34,19.00,23.34,5,18.00,5,3,1,19.00,3.800
BOC,49,4,0.21,3.00,3.21,1,3.98,17.50,21.48,4,13.50,3,10,3,15.00,3.000
