bank,supplier_as_employee,supplier_as_employee_score,entry_and_exit_process,entry_and_exit_process_score,supplier_sustainability_initiatives,supplier_sustainability_initiatives_score,supplier_risk_management_policies,supplier_risk_management_policies_score,aggregate_score
Bendigo,"- seek to source products and services from local businesses. 
- the Bank spent more than $14 million last financial year on goods and services procured in the Bendigo region as one of its largest employers. 
- During the onset of COVID-19, engaged our key, critical suppliers to seek reassurance regarding their preparedness for the pandemic, and any foreseen disruption to their business operations.
- Bank has procured a significant number of hand sanitising stations from an Australian supplier, which has become
and will continue to be a permanent fixture in each of its corporate offices.
-Ensure our employees reflect our customers, partners, suppliers and the communities we serve",3,-,1,"Slavery and Human Trafficking policy- outlines the  principles and practices which are designed to reduce the risk that slavery or human trafficking are present within our supply chain or operations. This policy complies with the Commonwealth Modern Slavery Act 2018.

-Meetings (both formal and informal)",4,"
 contract renewals, risk assessments, joint agreements.
",2,10
Bank of Queensland,"o	BOQ supports the communities in which it operates through our community investment strategy, which is made up of three elements – community partnerships, staff initiatives and shareholder initiatives.
o	BOQ’s major partners include; Children’s Hospital Foundations Australia, The Smith Family & Australian Red Cross
-continuing to facilitate BOQ’s commitment to our Reconciliation Action Plan (RAP) by actively identifying indigenous suppliers and removing barriers that may prevent them from participating;
-requiring potential suppliers to demonstrate their corporate responsibility commitments, such as diversity metrics, when responding to tenders;
-supporting Australian small businesses through offering 30 day maximum invoice payment terms; and
-seeking confirmation from suppliers via an annual review process and supplier site visits to ensure operations and supply chains do not contain or support modern slavery practices. ",4,"o	New suppliers may need to be pre-qualified and have background checks depending on their access to our site, systems and data. It may also involve you having to provide evidence of professional certifications, insurance and other similar documents.
-in the process of drafting a Supplier Code that outlines BOQ’s expectations with regard to supplier conduct across a number of key",3.5,BOQ is committed to developing sustainable procurement initiatives. Increasing relationships with ethical suppliers is one of their priorities,2,"o	BOQ’s SRM (Supplier Relationship Management) process starts with classifying suppliers and their products and services based on the risk and value to BOQ. 
o	The process involves implementation of proportionate governance performance management of suppliers and development plans. 
o	Performance monitoring and mutual feedback are critical to maintaining a solid business relationship and ensuring continuous improvement. 
o	Elements of measurement include financial, quality, service, delivery, innovation and social performance.
",5,14.5
ANZ,"
•	Act in an ethical, fair and professional manner in all dealings with their supply chain, including adhering to timely payments and not enforcing unfair contract terms on suppliers.
•	ANZ seeks to engage suppliers who have diverse ownership, such as Indigenous owned businesses (eg as part of our approach to Reconciliation in Australia) as well as disability enterprises & social enterprises amongst others, through our direct and indirect supply chain.
•	Suppliers, whether directly or through their supply chain, are therefore required to comply with all applicable laws and in all cases to adhere to the following principles detailed in this code as a condition of doing business with ANZ.",4,"•	ANZ’s Supplier Code of Practice
-The bank expect suppliers to provide influence and guidance within their own supply chain and related third parties to adopt a fair, safe and ethical approach to business, and to demonstrate compliance with this code. ",2,"Continuing to embed these principles into bank’s business practices including through training, communications, contracts, agreements, and due diligence processes",3,"•	ANZ expect suppliers to share bank’s commitment to adopting a fair, safe, responsible and ethical approach to business. 
•	Suppliers, whether directly or through their supply chain, are  required to comply with all applicable laws and in all cases to adhere to the following principles detailed in this code as a condition of doing business with ANZ. 

•	Suppliers must monitor their compliance, notify bank of any breaches and take reasonable steps to address, remedy and prevent repetition of any breach of this code.",5,14
CBA ,"We also look to support inclusion and diversity initiatives in all our suppliers. We work with over 20 major suppliers, representing over $1.5B procurement spend annually, to identify and create opportunities across our supply chain. This not only multiplies the impact of our program, it ensures diverse suppliers are not locked out of CBA’s supply chain due to pre-existing supplier relationships  
CBA has a target to achieve parity in Indigenous procurement – with 3% of our annual domestic contestable supplier spend to go to Indigenous owned businesses by 2024.    
- Ensuring that behaviour's , decisions and actions are aligned to the group's code of conduct and values and ensuring that their suppliers follow the same

Diversity and inclusion: 
-anti-discrimination and anti-harassment policies covering CBA's supply chain
-ensure products and services comply with relevant laws
-ensure work processes are merit based, particularly in regard to recruitment, promotion evaluation and remuneration
-The roup is committed to advancing the rights of indigeneous people in every urisdiction
-Ensures that operations or supply chain activities do not result in forced removal of indigenous people or other marginalised people 
-proactively seek to engage and support indigenous, women-owned businesses, disability enterprises, etc through direct and indirect supply chain",5,  Signitory to the Australian supplier payment code which requires them to pay eligible Australian small business suppliers within 30 days of receiving invoice. The bank's avg payment time for 2020 was 11 days     ,4,D&I development programs ,5,"Have a supplier code of conduct which lays out how the bank manages supply chain risks such as data and privitisation, human rights etc.     
Supplier risk management policy: proper due diligence framework;                   ",3,17
NAB,"The conduct and performance of our suppliers can have a significant impact on our sustainability as a business, as well as our reputation within the communities we operate in.
Committed to making sure the practices of all the businesses within our Group are fair, responsible and sensitive to the needs of our stakeholders.
We encourage all our suppliers to become signatories to the NAB Group’s Supplier Sustainability Principle,  which specify the sustainability requirements for suppliers providing goods and services to our businesses.
Including diverse suppliers (businesses owned by women, Indigenous people, people with disabilities, and social enterprises) into supply chain helps increase their exposure to corporate sourcing, while creating employment and training opportunities, sustainable growth and social and financial inclusion",5,signatory to the Australian Supplier Payment Code developed by the Business Council of Australia.,4,"The bank monitor supply arrangements to ensure that bank’s standards are being met, including in contract performance, service delivery, risk management, and communication. The bank is driving social impact through community grants, volunteering, workplace giving and supporting Indigenous success to help create stronger communities.",3,"The bank has risk management processes to identify, assess, mitigate and monitor potential risk areas where then bank could be exposed to human rights concerns, including modern slavery. These processes and actions the bank takes each year are outlined in Modern Slavery Statement.",4,16
Westpac,"1.	Works with over 8,600 supplier partners and during the year procured goods and services worth $6.5 billion across Australia and New Zealand. 
2.	Supplier inclusion and diversity program- $19 million spent with diverse suppliers during the year, including $5.9 million with Indigenous-owned businesses. 
3. Westpac ensures small business suppliers are paid within a maximum of 30 days of receiving a valid invoice for goods and services they have delivered.  
-Through our Supplier Inclusion and Diversity Policy, we have committed to increase opportunities in our supply chain for businesses that are driven by a social or environmental mission, or that support people who have traditionally been financially excluded. 
-We are interested in developing relationships with:

Indigenous owned businesses (at least 51% owned and controlled).
Businesses owned by women (at least 51% owned and controlled).
Australian Disability Enterprises.
Social Enterprises.
B Corporations.
-Westpac Group will protect any
personal information that is provided
to us in accordance with the Australian
Privacy Principles. ",5,"Westpac Group Supplier Playbook (PDF 980KB) which helps suppliers understand how we work and what we look for when selecting a supplier.
- 7 step procurement process 
1. Request to market
2.Supplier Due Diligence & Risk assessment
3. NegotiateTerms &Approve Contract
4. Onboard Supplier
5. Manage Supplier Risk
& Governance
6. Manage Supplier Performance
7. Contract Renewal/Expiry",5,Delivering on the bank's 2023 Human Rights Action Plan and working to eliminate risk of modern slavery across our business operations and supply chain,3,Responsible Sourcing Program- enhance methods of identifying ESG risks and take steps to mitigate and manage ESG risks across different industries and deeper into our supply chain. ,3,16
UOB Group,"Local business: 
1. UOB supports local businesses and helped create jobs by  purchasing from more than 10,000 suppliers in seven key markets, of which local suppliers accounted for 93.8 per cent of total purchases.
2. Aims to maintain local procurement spend above 85 per cent to support local suppliers.

Alignment with bank's policy: 
1. constantly enhances mechanisms to encourage suppliers to comply with all applicable local, national and international legislations, including those intended to safeguard the environment and social well-being.
2. Central Procurement Office oversees our indirect impact by ensuring that material suppliers act in compliance with our Group Supplier Sustainability Principles.

Transparent communication: 
1. Deepened our cyber security capabilities and enhanced our operating models to strengthen our cyber defence
2. Actively collaborated with the Monetary Authority of Singapore on the Veritas Framework to promote ethical
best practices when employing artificial intelligence and data analytics
3. Established framework and guidelines to govern cross-border transfers of personal data between UOB Group
companies worldwide
4. Formed the Enterprise Data Ethics team to ensure responsible use of data",4,1. Performance reviews (annually or prior to contract expiry),3,"1. Engaging with suppliers to ensure that the bank's sustainable procurement principles are upheld- Launched the Group Supplier Sustainability Principles (GSSP).
2. Won the Best Supplier Relationship Management in Indonesia award at The Asian Banker’s Bankers Choice Awards 2019.
3. UOB aims to engage with stakeholders to develop and implement a roadmap to adopt the Recommendations of the TCFD to assess, measure and manage climate change-related risk.",4,"1. Suppliers are expected to promptly notify the Bank of any deviations from the GSSP to mitigate any sustainability risk. In the event that a supplier is found to be non-compliant, the Bank’s approach is to request the supplier to present an improvement plan if one is not already in place.",4,15
OCBC- Singapore,"Total Vendors: 10,741
Local vendors: 90%
As a business, our stakeholders rely
on us to create value. Therefore, we undertake a disciplined pursuit of growth, supported by responsible and sustainable business practices, which also includes timely Payment to our suppliers

-Appropriate controls to ensure the confidentiality, integrity and availability of our information assets, including regular security reviews and audits to test the control effectiveness.",3,"Prioritising the procurement of more
eco-friendly products and services during
the screening and selection of suppliers,
wherever feasible. ",3,"Establish a Supplier Code of
Conduct in order to set out
the environmental and social
responsibilities expected of
our suppliers in 2020",3,"• Improve risk management through the use of fintech solutions. OCBC is one of the first Singapore banks to tap on AI and machine learning to enhance the detection of suspicious transactions
-Through a robust groupwide AML/CFT and sanctions framework and programme that are aligned with MAS AML/CFT and sanctions regulations, as well as with international organisations, such as the Financial Action Task Force (FATF), Basel Committee and Wolfsberg Group. The framework and programme comprise:
––
AML/CFT & Sanctions policy, guidelines and procedures covering key pillars such as customer due diligence, transaction monitoring, escalation protocol and investigation process.
––
Dedicated AML/CFT committee with members from senior management to oversight AML/CFT matters.
––
Risk assessment methodologies leveraging our existing monitoring and screening platform, data analytics to assess customer, product and geographical risks, as well as risk surveillance platform to monitor emerging financial crime trends and typologies.
––
Building staff competency and vigilance through targeted specialised training, including certified courses recognised by the Institute of Banking and Finance (IBF).",4,13
DBS,"Building a strong and reliable supply chain is fundamental to sustainable operations, which is one of the key components of DBS’ overall sustainability framework.
DBS recognise that the actions of suppliers contribute to the bank’s sustainability performance and that can influence and partner with them for mutual improvements. As a leading financial services group in Asia with a presence in 18 markets, the bank purchase a diverse range of products and services with the bulk being professional services, software, real estate and corporate services. Engaging with suppliers may also carry financial, legal and reputation risks. As such, the bank is cognisant that when they make procurement decisions, bank must also consider environmental and social matters alongside financial factors.
",3,"procurement is managed by the Group Procurement and Services (GPS) team, under the Technology and Operations support unit. GPS functions in accordance with the following:

Group Procurement Policy
Outlines guidelines for the purchasing of goods and services to meet DBS’ requirements while ensuring minimum risks and maximum value.
Group Procurement Standard
Extends throughout the procurement cycle, from identification and specification of requirements to the awarding of contracts to suppliers.
Group Procurement Sourcing Guide
This is to supplement Group Procurement Policy and Standard documents. Sourcing is a critical activity concerns with what needs to be purchased, why, when and where. Through the sourcing activities, we minimize risk and maximize value of all the goods and services provided to DBS.

As part of our aim to improve trade financing solutions, we improved the onboarding journeys for our suppliers, reducing the turnaround time by 75%. This significantly increased our supplier acquisition by more than six-fold.",5,incorporated circular procurement practices in  supply chain and trained sourcing managers to work with suppliers in the responsible management of materials and conservation of resources. DBS intention is to keep resources in use for as long as possible.,3, Group Procurement and Services (GPS) is tasked with enabling business through the supply chain maximising value and minimising risk through adherence to the Group Procurement policy,3,14
CIMB,"1. Strengthened digital capabilities by collaborating with with technology partners in e-procurement to bring cost-effective e-supply chain financing solutions to suppliers. 
2. The integrated procure-to-pay and supply chain financing allow suppliers to access lower cost of funds by leveraging on large corporate buyers’ good credit rating.
3. Launched Corporate Card Solutions to enable a more seamless transactional flow between businesses and their suppliers and customers.
4. Enures fair remuneration and payments terms
5. 88% local supplier base
6. Spends 40% on suppliers having stronger CSR and sustainability orientation
7. 25 % increase in suppliers registered in Group Electronic Procurement System (GEPS) (Malaysia)",4,"1. For smooth regitration process CIMB uses the Global Electronic Procurement System (GEPS) to expand the effective, fair, transparent, and efficient procurement of suppliers.",3,"1. CIMB adopts a “No Gift” policy to demonstrate commitment towards ethics and forbids bribery and corruption to protect vendors and provides them a safe platform to report such incidences.
2. Extended engagement efforts to include important stakeholders inclusing suppliers by initiating dialogue and deliberations on catalysing growth with responsibility towards the environment and the society.",3,"1. Feedback and grievance mechanisms to report any grievances and malpractices.
2. Extended sustainability ‘enculturation’ efforts to suppliers by rolling out a self-disclosure submission on various aspects of sustainability. 
3. CIMB aims to map specific Environmental and Social (E&S) risks associated with key suppliers, such as disruptions due to non-compliance to environmental laws or reputational damages due to human rights violations ",3,13
