bank,link,customer_centricity,employee_experience,supplier_satisfaction,shareholder_value,society_and_planet_impact
Maybank,https://twimbit-my.sharepoint.com/:w:/p/varnika/EfryYIpdsUNJmIwgU6_8BgMBPaA622ZzAfnyTmiDIUTkxw?e=lFpp2E,"It rolled out M2U Live Chat, a real-time platform for our premier banking customers to seek assistance via Maybank2u and Maybank mobile app 24/7. 

Introduced Etiqa’s Smile App, an all-in-one app that enables customers to access their policy details, the panel of service providers, submit claims and more. 

The bank launched MAE, Malaysia’s first lifestyle e-wallet with banking facilities in Malaysia, with over 1.1 million registered users in 2019. ",,,Return on equity: 10.9%,"Allocated approximately 1% of net profit to community programmes in 2019, a level they have consistently maintained since 2013.
Distributed approximately RM72.77 million in 2019 for education,  disaster relief, environment, well-being and arts and culture initiatives with meaningful impact across ASEAN."
CIMB,https://twimbit-my.sharepoint.com/:w:/p/varnika/ETmA0Gd2rFdFldjyo88WS1cBV9L1htRqFmXR1l5feAWAqg?e=OJmPz6,"Set up a Transforming Customer Journeys (TCJ) department in 2019 to take a fresh approach to designing the end-to-end journey for customers within an agile design and delivery ecosystem.

The Group continues to improve upon the robustness of tracking and monitoring customer experience metrics, via customer satisfaction score (CSAT) and net promoter score (NPS).

Seamless banking with the introduction of a mobile app based version of BizChannel and BizLite for SMEs.

Awards: Best Customer Experience – Branch & Best Customer Experience – Contact Centre by The Digital Banker
Malaysia Excellence Award in Customer Experience – Banking Industry for Overall Experience","Fast-track recruitment for 3D (data, digital and disruption) talent and established principles of a refreshed performance framework to introduce personalised benefits for employers.

The Complete Banker (TCB) Digital:  newly-established graduate programme ensures that CIMB has the necessary talent with the right skills to thrive in the new digital economy in the long-term. 

Empowering Women Series, to enable CIMB women to gain inspiration from accomplished women leaders from diverse sectors.",Completed first structured trade financing transaction using Blockchain platform and announced collaboration with technology partners to provide e-supply chain financing solutions to the supplier community.,"Return on equity: 8.5%

The Group’s 2019 net profit of RM4.56
billion, translating to a net earnings per share (EPS) of 47.0 sen.","Printed with eco ink made from a higher percentage of vegetable oil to reduce the emission of volatile organic compounds (VOCs).  

There is approximately 25% reduction in paper used, and papers were printed with carbon-neutral press machines, eco-materials and managed under and certified with ISO14001:2015 environmental management system to minimise environmental impact. 

Paper sourced from responsibly managed forests that provide environmental benefits and any waste generated was recycled and up-cycled to reduce the burden on landfills. 

Embedded economic, environmental and social (EES) considerations into its operations and lending policies and made global commitments and delivered sustainable product solutions locally. 

Monitored the external developments and formulated strategies based upon the geopolitical atmosphere. "
Public bank,,"Public Mutual Online (PMO) is a one-stop online platform which allows subscribers to invest, make transaction requests such as switching and redemption of units, and also enquire on their investment accounts as well as update their profile. Since the launch of                PMO in January 2009, the number of subscribers has exceeded 500,000. (",,"1) In 2019, Public Bank had once again recorded the highest number of graduates for the banking qualifications offered by the Asian Institute of Chartered Bankers.          2) In 2019, the Group had undertaken a bank-wide Skills Gap Analysis to assess the competency of staff and to identify their skills gap. The assessment has facilitated the formulation of more effective training plans which are targeted to develop and enhance specific skill needs of staff. ",,"• Increasing digitalisation of banking operations to reduce paper usage
• Solar system at Menara Public Bank 2 reduced 38.1 tCO2e carbon emission
• Continued replacement of light bulbs to LED bulbs across the Group’s premises"
OCBC- Malaysia,https://twimbit-my.sharepoint.com/:w:/p/varnika/EVSycHJQf41AlgUbbW3MDQMBC5F1yfxilZk8ReBaJRDeqw?e=ZamrSS,"OCBC Malaysia became the first foreign bank to offer all-in-one digital payment terminals for merchants to integrate and accept all cards and e-payment transactions on a single device                                    2)Premier Centres across Malaysia were upgraded to meet the client’s needs and aspirations coupled with an expansion to their product platform so high net worth individuals can grow their investment portfolios via a wider suite of wealth and treasury products, wholesale funds and universal life insurance solutions. ","1. 3-year Future Smart journey to upskill and reskill the workforce                                                 2.For a seamless learning experience, they plan on strengthening their commitment towards staff learning which will largely revolve around their new “We See You” platform, the aim of which is to enhance their virtual classroom experience by assisting both their internal trainers as well as learners to share, teach and develop using the numerous available online platforms. ",,,"1) OCBC led the expansion into renewable and sustainable projects and have since funded ‘green projects’ in solar farms in Malaysia                2) OCBC supported basic infrastructural improvements in East Coast Rail Line, Light Rail Transit Line 3 and the reinstated Pan Borneo projects.                         3) Undertook affordable homes and sustainability initiatives such as those pertaining to renewable energy "
UOB- Malaysia,https://twimbit-my.sharepoint.com/:w:/p/varnika/EWLwy_Cfwi5KknaqvObZjhIBKo-EljgLCm_aHMpo8tkqBQ?e=r8OWQj,"UOB group: TMRW

UOB Mighty, for convenient banking services. This initiative led to 20 per cent lower demand for over-the-counter transactions.","Launch of Better U, a group-wide learning and development programme to prepare their colleagues for the roles of the future 

Part-time work arrangements supporting colleagues with multiple responsibilities, such as working mothers, part-time students and those caring for elderly parents, to continue working with us 

","Our Central Procurement Office oversees our indirect impact by ensuring that material suppliers act in compliance with our Group Supplier Sustainability Principles.

Awards: Solution for  PT TOTAL BANGUN PERSADA tbk (TOTAL) won the Best Supplier Relationship Management in Indonesia award at The Asian Banker’s Bankers Choice Awards 2019","Final dividend of 55 cents and a special dividend of 20 cents per ordinary share.

Return on Equity- 11.6%","Green products: Through U-Solar, to accelerate the adoption of renewable energy for a more sustainable future

 UOB Heartbeat Run/Walk
Sustainable Event Management

Four of 12 wholly-owned buildings are certified with BCA Green Mark.

Achieved a 0.7 per cent overall reduction in electricity use
intensity compared to 2018.

Greenhouse gas emissions intensity showed a corresponding decrease
of 0.7 per cent over the same period"
AmBank,,"• Customer Satisfaction Survey
• CX Mystery Shopping
• Digital and Online Solutions
• Contact Centres
• Customer Experience Unity Tour (CXT)","• Learning & Development Programmes (e.g. Induction Trainings) 
• Townhalls 
• AmConnected Portal/Within 
• eHR Emails, AmBerita Newsletters and Direct Employee Electronic Feedback 
• Senior Management Visits to Touchpoints 
• Department Meetings, Senior Management Quarterly Engagements, Team Huddles, Senior Management Offsite and Department Offsite 
• KPI and TOR Sessions Sessions (1-1 Performance Review and Development Cycle) 
• AmBank Group Sports Club ","• Onboarding Procurement Process
• Performance Evaluation
• Adhoc Engagements","PROFIT ATTRIBUTABLE TO SHAREHOLDERS
RM1,340.7                                        Million Engagement plaotforms            • Annual General Meeting
• Quarterly Analyst and Fund Manager Briefings
• Investor Presentations, Meetings and Discussions
• Financial Statements
• Media Releases
• Investor Conferences and Roadshows
• AmBank Group’s Investor Relation (IR) Section and Dedicated IR Mailbox","• Financial Industry Collective Outreach (FINCO)
• Focus Groups
• AmBank Group Sports Club
• Volunteering Programmes
• Zakat Contributions
• AmKasih – CSR Activities"
UOB- Singapore,https://twimbit-my.sharepoint.com/:w:/p/varnika/ETuOBY6iSitNqLJ9e8FWzLUBiYtXDzLpc-1m2OKn6luz6A?e=IjQ8YG,"UOB group: TMRW

UOB Utility Marketplace to our range of ecosystems for consumers Express and satellite branches at accessible and convenient locations in  Singapore where young professionals and young family customers bank, live and play 

UOB Mighty, for convenient banking services. This initiative led to 20 per cent lower demand for over-the-counter transactions.","Launch of Better U, a group-wide learning and development programme to prepare their colleagues for the roles of the future 

Part-time work arrangements supporting colleagues with multiple responsibilities, such as working mothers, part-time students and those caring for elderly parents, to continue working with us 

Equip branch colleagues in Singapore with digital skills through curated workshops and training programmes
under UOB’s Professional Conversion Programme (PCP)","Our Central Procurement Office oversees our indirect impact by ensuring that material suppliers act in compliance with our Group Supplier Sustainability Principles.

Solution for  PT TOTAL BANGUN PERSADA tbk (TOTAL) won the Best Supplier Relationship Management in Indonesia award at The Asian Banker’s Bankers Choice Awards 2019","Final dividend of 55 cents and a special dividend of 20 cents per
ordinary share. 

Total annualised shareholder return of 5.0 per cent over 2015 to 2019, outperforming Singapore’s stock market average of 2.5 per cent.

Return on Equity- 11.6%",
OCBC- Singapore,,,"1) In 2018, OCBC launched the Future Smart initiative, our largest scale and most ambitious digital transformation initiative to date, where we committed to invest S$20 million in the development of our employees over three years.                        2) In its branches, OCBC converted many bank tellers to become digital ambassadors to assist customers with the new digital channels and services                                                  3)  OCBC claims that all their product managers are today conversant with API management and customer experiential design, which aligns with their larger goal of staff development ","1) An industry-level Working Group, comprising more than 70 professionals across 16 organisations, co-created a new set of Technology Risk Management Guidelines with Monetary Authority of Singapore (MAS).                            2) OCBC embraces collaboration with fintech companies through The Open Vault and harnesses new technologies— from biometrics to artificial intelligence (AI) —in a discerning manner.                             3)Eliminated physical hardware tokens with digital OCBC OneToken      3) Eliminated physical hardware tokens with digital OCBC OneToken ",,"1st Bank in Southeast Asia to stop financing new coal-fired power plants No. 1 2019 Asia Pacific (ex-Japan) Green/Renewable Energy Loans Mandated Lead Arranger League Table by Bloomberg No. 1 2019 Asia Pacific (ex-Japan) Green/Sustainability-linked Loans Mandated Lead Arranger League Table by Debtwire >S$5b in new commitments to sustainable finance in 2019 >20 green and sustainability-linked loans completed in 2019 Financed renewable energy projects to provide generation capacity of more than 2,000 MW of cleaner energy in 2019"
DBS,,"	Leveraged advanced analytics to offer personalised services to its customers.
	Enhanced data platform with automation capabilities 
	Upskilled workforce with over 25% trained in data analytics.
	Launched over 150 data-driven projects focusing on contextual marketing, sentiment analysis, and hyper-personalization.
	Launched the world’s largest banking API.","•	Organising more than 300 innovation-centric events such as hackathons, enabling over 17,000 staff to ‘learn by doing’.
•	Encouraging a culture of experimentation and removing the stigma of failing—by giving awards for failing.
•	Establishing a ‘Data Heroes’ program to equip employees with big data and data analytics skills. Over 16,000 staff have been trained over the past 18 months, and more than 200 data analytics projects were completed in 2018.
•	Organising innovative recruitment events such as Hack2Hire, Hacker-in-Her, and Paradigm Shift.","Our procurement is managed by the Group Procurement and Services (GPS) team, under the Technology and Operations support unit. GPS functions in accordance with the following:

~ Group Procurement Policy
Outlines guidelines for the purchasing of goods and services to meet DBS’ requirements while ensuring minimum risks and maximum value.
~ Group Procurement Standard
Extends throughout the procurement cycle, from identification and specification of requirements to the awarding of contracts to suppliers.
~Group Procurement Sourcing Guide
This is to supplement Group Procurement Policy and Standard documents. Sourcing is a critical activity concerns with what needs to be purchased, why, when and where. Through the sourcing activities, we minimize risk and maximize value of all the goods and services provided to DBS.",,"14% of DBS’ electricity consumption in its key markets was provided by renewable energy. DBS has a target of 100% renewable energy consumption in Singapore by 2030 and eventually aims to extend this to 100% of its global operations.The bank has a target to finance SGD 10
billion of renewable and clean energy developments by 2024 and an additional SGD 10 billion of other Green projects and assets by 2024.                                                     100% of Singapore branches are Building and Construction Authority Green Mark Certified, with 62 branches certified as Green Mark Gold and above (as of 31 Dec 2019)."
CBA,https://twimbit-my.sharepoint.com/:w:/r/personal/varnika_twimbit_com/_layouts/15/Doc.aspx?sourcedoc=%7B8E27C571-BA0D-40E0-8502-694E4DE5A6C3%7D&file=Commonwealth%20Bank%20of%20Australia%20Edited.docx&action=default&mobileredirect=true,"CommBank app:  

1. Delivers personalised services and alerts to help customers better manage their money and make smart financial decisions  

2. Provides transactions notifications, budgeting tools and monthly spending tracker  

3. Strengthening security and fraud detection  

4. Bill prediction feature using machine learning to identify reoccurring bills and provide timeline for upcoming payments  

5. Providing integrated shopping experience within the app along with personalised offers and cashback rewards 
","1. Employee engagement: The bank aims to work upwards on their employee engagement index score by the Your Voice people and culture survey, to be a part of the global top 10% threshold  

2. Women in leadership: Targeted to included 47-50% women in executive manager and above roles by 2025 

3. Reskilling and upskilling people: Piloting opportunities to help its people to be prepared for the future of work. They are engaging with educators, government and the community to inculcate changes in the workforce plan ","—More than 7200 Australian and international suppliers                       — Signitory to the Australian supplier payment code which requires them to pay eligible Australian small business suppliers within 30 days of receiving invoice. The bank's avg payment time for 2020 was 11 days                                —Have a supplier code of conduct which lays out how the bank manages supply chain risks such as data and privitisation, human rights etc.                                                             -Vendor as employee: We also look to support inclusion and diversity initiatives in all our suppliers. We work with over 20 major suppliers, representing over $1.5B procurement spend annually, to identify and create opportunities across our supply chain. This not only multiplies the impact of our program, it ensures diverse suppliers are not locked out of CBA’s supply chain due to pre-existing supplier relationships                                                 -Supplier development programs: CBA has a target to achieve parity in Indigenous procurement – with 3% of our annual domestic contestable supplier spend to go to Indigenous owned businesses by 2024.                                        - Provide for a safe and hygenic work environment, minimising safety hazards by following a work-health-safety (WHS) policy                                    -Supplier risk management policy: proper due diligence framework; ","—Total shareholder return 151% in 10 years; 8% in 5 years and 11% in 1 year. Top quartile TSR performance relative to peers.                                 —888,000+ shareholder 
—$2420 dividend amount received by the average retail shareholder —$5.3bl returned to shareholders as dividends ",1. Managing environment and social risks- Sourced 100% renewable energy for Australian power needs in 2020 which was 10 years ahead of their deadline.                                        2. Climate change- Committed to supporting the global net transition to a net zero emissions economy by 2050
