Bank,sv_net_income_ratio,sv_net_income_ratio_rating,sv_CET1,sv_CET1_rating,sv_PE_ratio,sv_PE_ratio_rating,sv_return_on_equity,sv_return_on_equity_rating,sv_total_shareholder_return,sv_total_shareholder_return_rating,sv_net_profit_after_tax,sv_earnings_per_share,sv_earnings_per_share_rating,sv_dividend_per_share,sv_aggregate_score,cx_number_of_customers,cx_customer_growth,cx_net_promoter_score,cx_net_promoter score_rating,cx_complaints_resolution,cx_complaints_resolution_rating,cx_average_number_of_days_to_resolve,cx_average_number_of_days_to_resolve_rating,cx_digital_banking_customers,cx_digital_banking_customers_rating,cx_aggregate_score,cx_normalised_aggregate_score,ex_total_employees,ex_employee_turnover_rate,ex_employee_turnover_rating,ex_women_employed,ex_women_employed_rating,ex_women_in_leadership_roles,ex_women_in_leadership_roles_rating,ex_aggregate_score,ex_normalised_aggregate_rating,Supplier satisfaction - Refer to the SS framework,sp_impact_greenhouse_gas_emissions,sp_impact_greenhouse_gas_emissions_rating,sp_impact_energy_consumption,sp_impact_energy_consumption_rating,sp_impact_aggregation_score
Bendigo,11.79,5,9.25,1,27.05,14,5.36,6,-0.09,11,147.19,45.58,9,26.67,37,1.88,9.9,32.1,12,74,5,4.2,14,751751,6,31,6.53,7400,10.96,8,60.5,16,43.6,17,41,6.04,,24.47,14,19696,17,31
Bank of Queensland,10.49,3,9.78,2,30.96,17,2.84,3,-29.80,3,88.25,27,6,7,28,0.896,-1.75,17,9,78,7,5,11,419600,3,27,5.68,2444,,,61,17,42,16,33,4.86,,46,13,11711,20,33
ANZ,20.15,9,11.3,5,20.09,13,6.2,8,-36.90,1,2735,90,13,27,36,8.7,0,-4.4,2,66,2,5,11,5250000,13,15,3.16,39060,10.6,9,51.9,7.5,33.4,9,25.5,3.76,,203.7,3,180340,3,6
CBA ,31.39,13,11.6,7,19.86,12,10.3,14,-11.00,6,5573,315,16,229,52,17,-2.29,7.2,5,78.6,8.5,14,3.5,7500000,15,17,3.58,41778,10.1,10,56.9,13,41,15,38,5.60,,0.0019,19,123622.222,8,27
NAB,20.34,10,11.47,6,29.24,16,5.98,7,-36.40,2,2662,61,11,46,41,9,0,-11,1,78.6,8.5,5,11,627000,4,20.5,4.32,33950,11.8,7,50,3,36,11,21,3.09,,149.45,4,124800.734,7,11
Westpac,11.35,4,11.13,3,33.72,19,3.36,5,-12.60,4.5,1758.6,49,10,24,35.5,14.1,0.7,-0.8,3,75.1,6,6.5,8,240000,1,17,3.58,40225,7.4,14,57,14,50,20,48,7.07,,107.634,5,171030.83,4,9
UOB Group,43.3,20,14.3,14,12.42,8,11.6,19,-6.90,7,4343,254,15,47,68,5.25,3.96,15,8,72.6,3,5,11,3410000,9,22,4.63,26872,17.8,1,61.1,18,35.1,10,29,4.27,,71.4,9,131700,5,14
OCBC- Singapore,46,21,14.9,15,2.37,1,11.4,18,-3.70,9,3742.95,84,12,40,64,1.23,0,7,4,87,12,3,15.5,651900,5,31.5,6.63,30492,17,2,59,15,40,13.5,30.5,4.49,,74.06,8,123561,9,17
DBS,32.32,14,13.9,11,12.1,7,9.1,11,1.00,12,6390,246,14,33,55,10.94,8,20,10,95,14,3,15.5,3700000,10,39.5,8.32,28000,8,12.5,51.4,5,40,13.5,31,4.57,,54.72,10,98507,10,20
CIMB,6.9,2,13.3,10,35.4,20,2.1,1,3.30,13,315.54,12,2,6,46,15.4,9.76,,0,79,10.5,5,11,9800000,16,21.5,4.53,35265,8.9,11,56.44,12,19,5,28,4.12,,77.99,6,125930.3,6,12
Maybank,34.25,15,15.73,17,11.54,6,10.9,15,-3.90,8,2097,19,4,16,61,22,0,26,11,79,10.5,2,17,5200000,12,38.5,8.11,46000,14,3,55.3,11,47,18,32,4.71,,50.55,12,54733.42,12,24
RHB,35.04,16,16.18,19,9.53,5,7.7,10,-3.40,10,612.34,13,3,10,60,0,0,9,6.5,,,,,300000,2,6.5,1.37,14345,13.4,4,50.2,4,26.9,7,15,2.21,,13.3,17,16798,18,35
